scale : 3 	 n_feats : 64 	 n_RG : 10 	 n_RCAB : 20 
001000-count 	 lr : 0.000010 	 RGB_PSNR : 30.824130 	 Y_PSNR : 33.096472 
002000-count 	 lr : 0.000010 	 RGB_PSNR : 31.667335 	 Y_PSNR : 33.837444 
003000-count 	 lr : 0.000010 	 RGB_PSNR : 32.018261 	 Y_PSNR : 34.136307 
004000-count 	 lr : 0.000010 	 RGB_PSNR : 32.183762 	 Y_PSNR : 34.269337 
005000-count 	 lr : 0.000010 	 RGB_PSNR : 32.276709 	 Y_PSNR : 34.341018 
006000-count 	 lr : 0.000010 	 RGB_PSNR : 32.344665 	 Y_PSNR : 34.397365 
007000-count 	 lr : 0.000010 	 RGB_PSNR : 32.413425 	 Y_PSNR : 34.461195 
008000-count 	 lr : 0.000010 	 RGB_PSNR : 32.466645 	 Y_PSNR : 34.509878 
009000-count 	 lr : 0.000010 	 RGB_PSNR : 32.498726 	 Y_PSNR : 34.539354 
010000-count 	 lr : 0.000010 	 RGB_PSNR : 32.537435 	 Y_PSNR : 34.575138 
011000-count 	 lr : 0.000010 	 RGB_PSNR : 32.561275 	 Y_PSNR : 34.594866 
012000-count 	 lr : 0.000010 	 RGB_PSNR : 32.571133 	 Y_PSNR : 34.599874 
013000-count 	 lr : 0.000010 	 RGB_PSNR : 32.587885 	 Y_PSNR : 34.617345 
014000-count 	 lr : 0.000010 	 RGB_PSNR : 32.590294 	 Y_PSNR : 34.615802 
015000-count 	 lr : 0.000010 	 RGB_PSNR : 32.610480 	 Y_PSNR : 34.635735 
016000-count 	 lr : 0.000010 	 RGB_PSNR : 32.618632 	 Y_PSNR : 34.641570 
017000-count 	 lr : 0.000010 	 RGB_PSNR : 32.623076 	 Y_PSNR : 34.646084 
018000-count 	 lr : 0.000010 	 RGB_PSNR : 32.648296 	 Y_PSNR : 34.673978 
019000-count 	 lr : 0.000010 	 RGB_PSNR : 32.647120 	 Y_PSNR : 34.671600 
020000-count 	 lr : 0.000010 	 RGB_PSNR : 32.656774 	 Y_PSNR : 34.680971 
021000-count 	 lr : 0.000010 	 RGB_PSNR : 32.656827 	 Y_PSNR : 34.675839 
022000-count 	 lr : 0.000010 	 RGB_PSNR : 32.661301 	 Y_PSNR : 34.681267 
023000-count 	 lr : 0.000010 	 RGB_PSNR : 32.673418 	 Y_PSNR : 34.693155 
024000-count 	 lr : 0.000010 	 RGB_PSNR : 32.674171 	 Y_PSNR : 34.693668 
025000-count 	 lr : 0.000010 	 RGB_PSNR : 32.661227 	 Y_PSNR : 34.676726 
026000-count 	 lr : 0.000010 	 RGB_PSNR : 32.661926 	 Y_PSNR : 34.675132 
027000-count 	 lr : 0.000010 	 RGB_PSNR : 32.671495 	 Y_PSNR : 34.688327 
028000-count 	 lr : 0.000010 	 RGB_PSNR : 32.664390 	 Y_PSNR : 34.681550 
029000-count 	 lr : 0.000010 	 RGB_PSNR : 32.676481 	 Y_PSNR : 34.693392 
030000-count 	 lr : 0.000010 	 RGB_PSNR : 32.677999 	 Y_PSNR : 34.692995 
031000-count 	 lr : 0.000010 	 RGB_PSNR : 32.680000 	 Y_PSNR : 34.695095 
032000-count 	 lr : 0.000010 	 RGB_PSNR : 32.676646 	 Y_PSNR : 34.692115 
033000-count 	 lr : 0.000010 	 RGB_PSNR : 32.684225 	 Y_PSNR : 34.698140 
034000-count 	 lr : 0.000010 	 RGB_PSNR : 32.691661 	 Y_PSNR : 34.709585 
035000-count 	 lr : 0.000010 	 RGB_PSNR : 32.687855 	 Y_PSNR : 34.701602 
036000-count 	 lr : 0.000010 	 RGB_PSNR : 32.690131 	 Y_PSNR : 34.704664 
037000-count 	 lr : 0.000010 	 RGB_PSNR : 32.696452 	 Y_PSNR : 34.712810 
038000-count 	 lr : 0.000010 	 RGB_PSNR : 32.696245 	 Y_PSNR : 34.710819 
039000-count 	 lr : 0.000010 	 RGB_PSNR : 32.680901 	 Y_PSNR : 34.691098 
040000-count 	 lr : 0.000010 	 RGB_PSNR : 32.677034 	 Y_PSNR : 34.688488 
041000-count 	 lr : 0.000010 	 RGB_PSNR : 32.703542 	 Y_PSNR : 34.719973 
042000-count 	 lr : 0.000010 	 RGB_PSNR : 32.697792 	 Y_PSNR : 34.710546 
043000-count 	 lr : 0.000010 	 RGB_PSNR : 32.690502 	 Y_PSNR : 34.705665 
044000-count 	 lr : 0.000010 	 RGB_PSNR : 32.708453 	 Y_PSNR : 34.725936 
045000-count 	 lr : 0.000010 	 RGB_PSNR : 32.692870 	 Y_PSNR : 34.708075 
046000-count 	 lr : 0.000010 	 RGB_PSNR : 32.705728 	 Y_PSNR : 34.720771 
047000-count 	 lr : 0.000010 	 RGB_PSNR : 32.705298 	 Y_PSNR : 34.719437 
048000-count 	 lr : 0.000010 	 RGB_PSNR : 32.720513 	 Y_PSNR : 34.738578 
049000-count 	 lr : 0.000010 	 RGB_PSNR : 32.705743 	 Y_PSNR : 34.718379 
050000-count 	 lr : 0.000010 	 RGB_PSNR : 32.700972 	 Y_PSNR : 34.716086 
051000-count 	 lr : 0.000010 	 RGB_PSNR : 32.715445 	 Y_PSNR : 34.731530 
052000-count 	 lr : 0.000010 	 RGB_PSNR : 32.702496 	 Y_PSNR : 34.714542 
053000-count 	 lr : 0.000010 	 RGB_PSNR : 32.707519 	 Y_PSNR : 34.721311 
054000-count 	 lr : 0.000010 	 RGB_PSNR : 32.703055 	 Y_PSNR : 34.719754 
055000-count 	 lr : 0.000010 	 RGB_PSNR : 32.714839 	 Y_PSNR : 34.730081 
056000-count 	 lr : 0.000010 	 RGB_PSNR : 32.714053 	 Y_PSNR : 34.728690 
057000-count 	 lr : 0.000010 	 RGB_PSNR : 32.726310 	 Y_PSNR : 34.741950 
058000-count 	 lr : 0.000010 	 RGB_PSNR : 32.719990 	 Y_PSNR : 34.734014 
059000-count 	 lr : 0.000010 	 RGB_PSNR : 32.723409 	 Y_PSNR : 34.738940 
060000-count 	 lr : 0.000010 	 RGB_PSNR : 32.719010 	 Y_PSNR : 34.732932 
061000-count 	 lr : 0.000010 	 RGB_PSNR : 32.719393 	 Y_PSNR : 34.734939 
062000-count 	 lr : 0.000010 	 RGB_PSNR : 32.713520 	 Y_PSNR : 34.729934 
063000-count 	 lr : 0.000010 	 RGB_PSNR : 32.719830 	 Y_PSNR : 34.737020 
064000-count 	 lr : 0.000010 	 RGB_PSNR : 32.701194 	 Y_PSNR : 34.713857 
065000-count 	 lr : 0.000010 	 RGB_PSNR : 32.707818 	 Y_PSNR : 34.722480 
066000-count 	 lr : 0.000010 	 RGB_PSNR : 32.715913 	 Y_PSNR : 34.731903 
067000-count 	 lr : 0.000010 	 RGB_PSNR : 32.717144 	 Y_PSNR : 34.733683 
068000-count 	 lr : 0.000010 	 RGB_PSNR : 32.711467 	 Y_PSNR : 34.726918 
069000-count 	 lr : 0.000010 	 RGB_PSNR : 32.716169 	 Y_PSNR : 34.732952 
070000-count 	 lr : 0.000010 	 RGB_PSNR : 32.718738 	 Y_PSNR : 34.733732 
071000-count 	 lr : 0.000010 	 RGB_PSNR : 32.707453 	 Y_PSNR : 34.719881 
072000-count 	 lr : 0.000010 	 RGB_PSNR : 32.714035 	 Y_PSNR : 34.727055 
073000-count 	 lr : 0.000010 	 RGB_PSNR : 32.701480 	 Y_PSNR : 34.712907 
074000-count 	 lr : 0.000010 	 RGB_PSNR : 32.708786 	 Y_PSNR : 34.722399 
075000-count 	 lr : 0.000010 	 RGB_PSNR : 32.705154 	 Y_PSNR : 34.719342 
